level_0,level_1,date,symbol,close,dominant_id,exchange,high,low,open,trading_code,trading_date,underlying_symbol,volume
LC2601,139,2025-10-21 10:41:00,LC2601,75740.0,LC2601,GFEX,75760.0,75660.0,75680.0,lc2601,20251021,LC,561.0
LC2601,140,2025-10-21 10:40:00,LC2601,75700.0,LC2601,GFEX,75700.0,75660.0,75700.0,lc2601,20251021,LC,314.0
LC2601,141,2025-10-21 10:39:00,LC2601,75680.0,LC2601,GFEX,75760.0,75680.0,75720.0,lc2601,20251021,LC,423.0
LC2601,142,2025-10-21 10:38:00,LC2601,75720.0,LC2601,GFEX,75820.0,75720.0,75760.0,lc2601,20251021,LC,459.0
LC2601,143,2025-10-21 10:37:00,LC2601,75740.0,LC2601,GFEX,75740.0,75700.0,75700.0,lc2601,20251021,LC,434.0
LC2601,144,2025-10-21 10:36:00,LC2601,75720.0,LC2601,GFEX,75820.0,75660.0,75800.0,lc2601,20251021,LC,1877.0
LC2601,145,2025-10-21 10:35:00,LC2601,75780.0,LC2601,GFEX,75780.0,75740.0,75780.0,lc2601,20251021,LC,236.0
LC2601,146,2025-10-21 10:34:00,LC2601,75760.0,LC2601,GFEX,75780.0,75740.0,75760.0,lc2601,20251021,LC,522.0
LC2601,147,2025-10-21 10:33:00,LC2601,75760.0,LC2601,GFEX,75780.0,75700.0,75760.0,lc2601,20251021,LC,842.0
LC2601,148,2025-10-21 10:32:00,LC2601,75740.0,LC2601,GFEX,75780.0,75640.0,75680.0,lc2601,20251021,LC,945.0
LC2601,149,2025-10-21 10:31:00,LC2601,75660.0,LC2601,GFEX,75740.0,75640.0,75720.0,lc2601,20251021,LC,845.0
LC2601,150,2025-10-21 10:15:00,LC2601,75680.0,LC2601,GFEX,75700.0,75660.0,75700.0,lc2601,20251021,LC,375.0
LC2601,151,2025-10-21 10:14:00,LC2601,75720.0,LC2601,GFEX,75740.0,75660.0,75700.0,lc2601,20251021,LC,753.0
LC2601,152,2025-10-21 10:13:00,LC2601,75680.0,LC2601,GFEX,75720.0,75680.0,75700.0,lc2601,20251021,LC,639.0
LC2601,153,2025-10-21 10:12:00,LC2601,75700.0,LC2601,GFEX,75700.0,75620.0,75620.0,lc2601,20251021,LC,820.0
LC2601,154,2025-10-21 10:11:00,LC2601,75620.0,LC2601,GFEX,75620.0,75560.0,75560.0,lc2601,20251021,LC,471.0
LC2601,155,2025-10-21 10:10:00,LC2601,75560.0,LC2601,GFEX,75640.0,75560.0,75620.0,lc2601,20251021,LC,550.0
LC2601,156,2025-10-21 10:09:00,LC2601,75620.0,LC2601,GFEX,75680.0,75600.0,75640.0,lc2601,20251021,LC,616.0
LC2601,157,2025-10-21 10:08:00,LC2601,75640.0,LC2601,GFEX,75640.0,75520.0,75540.0,lc2601,20251021,LC,529.0
LC2601,158,2025-10-21 10:07:00,LC2601,75540.0,LC2601,GFEX,75540.0,75500.0,75520.0,lc2601,20251021,LC,563.0
LC2601,159,2025-10-21 10:06:00,LC2601,75520.0,LC2601,GFEX,75580.0,75480.0,75580.0,lc2601,20251021,LC,535.0
LC2601,160,2025-10-21 10:05:00,LC2601,75580.0,LC2601,GFEX,75640.0,75560.0,75600.0,lc2601,20251021,LC,521.0
LC2601,161,2025-10-21 10:04:00,LC2601,75580.0,LC2601,GFEX,75580.0,75500.0,75520.0,lc2601,20251021,LC,808.0
LC2601,162,2025-10-21 10:03:00,LC2601,75540.0,LC2601,GFEX,75540.0,75460.0,75460.0,lc2601,20251021,LC,1332.0
LC2601,163,2025-10-21 10:02:00,LC2601,75500.0,LC2601,GFEX,75580.0,75500.0,75580.0,lc2601,20251021,LC,1419.0
LC2601,164,2025-10-21 10:01:00,LC2601,75580.0,LC2601,GFEX,75600.0,75540.0,75560.0,lc2601,20251021,LC,565.0
LC2601,165,2025-10-21 10:00:00,LC2601,75580.0,LC2601,GFEX,75660.0,75560.0,75620.0,lc2601,20251021,LC,421.0
LC2601,166,2025-10-21 09:59:00,LC2601,75620.0,LC2601,GFEX,75640.0,75560.0,75580.0,lc2601,20251021,LC,670.0
LC2601,167,2025-10-21 09:58:00,LC2601,75600.0,LC2601,GFEX,75660.0,75540.0,75640.0,lc2601,20251021,LC,818.0
LC2601,168,2025-10-21 09:57:00,LC2601,75660.0,LC2601,GFEX,75660.0,75600.0,75620.0,lc2601,20251021,LC,670.0
LC2601,169,2025-10-21 09:56:00,LC2601,75620.0,LC2601,GFEX,75640.0,75540.0,75560.0,lc2601,20251021,LC,891.0
LC2601,170,2025-10-21 09:55:00,LC2601,75560.0,LC2601,GFEX,75640.0,75540.0,75620.0,lc2601,20251021,LC,1234.0
LC2601,171,2025-10-21 09:54:00,LC2601,75620.0,LC2601,GFEX,75660.0,75600.0,75660.0,lc2601,20251021,LC,1431.0
LC2601,172,2025-10-21 09:53:00,LC2601,75660.0,LC2601,GFEX,75680.0,75620.0,75660.0,lc2601,20251021,LC,800.0
LC2601,173,2025-10-21 09:52:00,LC2601,75660.0,LC2601,GFEX,75680.0,75640.0,75660.0,lc2601,20251021,LC,911.0
LC2601,174,2025-10-21 09:51:00,LC2601,75700.0,LC2601,GFEX,75820.0,75680.0,75820.0,lc2601,20251021,LC,804.0
LC2601,175,2025-10-21 09:50:00,LC2601,75800.0,LC2601,GFEX,75840.0,75740.0,75800.0,lc2601,20251021,LC,750.0
LC2601,176,2025-10-21 09:49:00,LC2601,75780.0,LC2601,GFEX,75880.0,75760.0,75760.0,lc2601,20251021,LC,1184.0
LC2601,177,2025-10-21 09:48:00,LC2601,75760.0,LC2601,GFEX,75760.0,75660.0,75720.0,lc2601,20251021,LC,1029.0
LC2601,178,2025-10-21 09:47:00,LC2601,75720.0,LC2601,GFEX,75720.0,75600.0,75660.0,lc2601,20251021,LC,2125.0
LC2601,179,2025-10-21 09:46:00,LC2601,75680.0,LC2601,GFEX,75820.0,75620.0,75780.0,lc2601,20251021,LC,2465.0
LC2601,180,2025-10-21 09:45:00,LC2601,75800.0,LC2601,GFEX,75880.0,75780.0,75860.0,lc2601,20251021,LC,810.0
LC2601,181,2025-10-21 09:44:00,LC2601,75860.0,LC2601,GFEX,75980.0,75860.0,75920.0,lc2601,20251021,LC,733.0
LC2601,182,2025-10-21 09:43:00,LC2601,75920.0,LC2601,GFEX,75940.0,75880.0,75920.0,lc2601,20251021,LC,326.0
