ts_code,trade_date,mapping_ts_code
LC.GFE,20240603,LC2407.GFE
LC.GFE,20240531,LC2407.GFE
LC.GFE,20240530,LC2407.GFE
LC.GFE,20240529,LC2407.GFE
LC.GFE,20240528,LC2407.GFE
LC.GFE,20240527,LC2407.GFE
LC.GFE,20240524,LC2407.GFE
LC.GFE,20240523,LC2407.GFE
LC.GFE,20240522,LC2407.GFE
LC.GFE,20240521,LC2407.GFE
LC.GFE,20240520,LC2407.GFE
LC.GFE,20240517,LC2407.GFE
LC.GFE,20240516,LC2407.GFE
LC.GFE,20240515,LC2407.GFE
LC.GFE,20240514,LC2407.GFE
LC.GFE,20240513,LC2407.GFE
LC.GFE,20240510,LC2407.GFE
LC.GFE,20240509,LC2407.GFE
LC.GFE,20240508,LC2407.GFE
LC.GFE,20240507,LC2407.GFE
LC.GFE,20240506,LC2407.GFE
LC.GFE,20240430,LC2407.GFE
LC.GFE,20240429,LC2407.GFE
LC.GFE,20240426,LC2407.GFE
LC.GFE,20240425,LC2407.GFE
LC.GFE,20240424,LC2407.GFE
LC.GFE,20240423,LC2407.GFE
LC.GFE,20240422,LC2407.GFE
LC.GFE,20240419,LC2407.GFE
LC.GFE,20240418,LC2407.GFE
LC.GFE,20240417,LC2407.GFE
LC.GFE,20240416,LC2407.GFE
LC.GFE,20240415,LC2407.GFE
LC.GFE,20240412,LC2407.GFE
LC.GFE,20240411,LC2407.GFE
LC.GFE,20240410,LC2407.GFE
LC.GFE,20240409,LC2407.GFE
LC.GFE,20240408,LC2407.GFE
LC.GFE,20240403,LC2407.GFE
LC.GFE,20240402,LC2407.GFE
LC.GFE,20240401,LC2407.GFE
LC.GFE,20240329,LC2407.GFE
LC.GFE,20240328,LC2407.GFE
LC.GFE,20240327,LC2407.GFE
LC.GFE,20240326,LC2407.GFE
LC.GFE,20240325,LC2407.GFE
LC.GFE,20240322,LC2407.GFE
LC.GFE,20240321,LC2407.GFE
LC.GFE,20240320,LC2407.GFE
LC.GFE,20240319,LC2407.GFE
LC.GFE,20240318,LC2407.GFE
LC.GFE,20240315,LC2407.GFE
LC.GFE,20240314,LC2407.GFE
LC.GFE,20240313,LC2407.GFE
LC.GFE,20240312,LC2407.GFE
LC.GFE,20240311,LC2407.GFE
LC.GFE,20240308,LC2407.GFE
LC.GFE,20240307,LC2407.GFE
LC.GFE,20240306,LC2407.GFE
LC.GFE,20240305,LC2407.GFE
LC.GFE,20240304,LC2407.GFE
LC.GFE,20240301,LC2407.GFE
LC.GFE,20240229,LC2407.GFE
LC.GFE,20240228,LC2407.GFE
LC.GFE,20240227,LC2407.GFE
LC.GFE,20240226,LC2407.GFE
LC.GFE,20240223,LC2407.GFE
LC.GFE,20240222,LC2407.GFE
LC.GFE,20240221,LC2407.GFE
LC.GFE,20240220,LC2407.GFE
LC.GFE,20240219,LC2407.GFE
LC.GFE,20240208,LC2407.GFE
LC.GFE,20240207,LC2407.GFE
LC.GFE,20240206,LC2407.GFE
LC.GFE,20240205,LC2407.GFE
LC.GFE,20240202,LC2407.GFE
LC.GFE,20240201,LC2407.GFE
LC.GFE,20240131,LC2407.GFE
LC.GFE,20240130,LC2407.GFE
LC.GFE,20240129,LC2407.GFE
LC.GFE,20240126,LC2407.GFE
LC.GFE,20240125,LC2407.GFE
LC.GFE,20240124,LC2407.GFE
LC.GFE,20240123,LC2407.GFE
LC.GFE,20240122,LC2407.GFE
LC.GFE,20240119,LC2407.GFE
LC.GFE,20240118,LC2407.GFE
LC.GFE,20240117,LC2407.GFE
LC.GFE,20240116,LC2407.GFE
LC.GFE,20240115,LC2407.GFE
LC.GFE,20240112,LC2407.GFE
LC.GFE,20240111,LC2407.GFE
LC.GFE,20240110,LC2407.GFE
LC.GFE,20240109,LC2407.GFE
LC.GFE,20240108,LC2407.GFE
LC.GFE,20240105,LC2407.GFE
LC.GFE,20240104,LC2407.GFE
LC.GFE,20240103,LC2407.GFE
LC.GFE,20240102,LC2407.GFE
LC.GFE,20231229,LC2407.GFE
LC.GFE,20231228,LC2407.GFE
LC.GFE,20231227,LC2407.GFE
LC.GFE,20231226,LC2407.GFE
LC.GFE,20231225,LC2407.GFE
LC.GFE,20231222,LC2407.GFE
LC.GFE,20231221,LC2407.GFE
LC.GFE,20231220,LC2407.GFE
LC.GFE,20231219,LC2407.GFE
LC.GFE,20231218,LC2407.GFE
LC.GFE,20231215,LC2407.GFE
LC.GFE,20231214,LC2407.GFE
LC.GFE,20231213,LC2407.GFE
LC.GFE,20231212,LC2407.GFE
LC.GFE,20231211,LC2407.GFE
LC.GFE,20231208,LC2407.GFE
LC.GFE,20231207,LC2401.GFE
LC.GFE,20231206,LC2401.GFE
LC.GFE,20231205,LC2401.GFE
LC.GFE,20231204,LC2401.GFE
LC.GFE,20231201,LC2401.GFE
LC.GFE,20231130,LC2401.GFE
LC.GFE,20231129,LC2401.GFE
LC.GFE,20231128,LC2401.GFE
LC.GFE,20231127,LC2401.GFE
LC.GFE,20231124,LC2401.GFE
LC.GFE,20231123,LC2401.GFE
LC.GFE,20231122,LC2401.GFE
LC.GFE,20231121,LC2401.GFE
LC.GFE,20231120,LC2401.GFE
LC.GFE,20231117,LC2401.GFE
LC.GFE,20231116,LC2401.GFE
